acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.189,0.691,240467,0.61,0,2.38E-05,0,0.0885,-7.023,1,42,0.0275,113.127,0.363,2001
0.158,0.759,218507,0.502,0,0.00103,9,0.216,-10.253,1,47,0.108,106.063,0.847,2001
0.843,0.587,240907,0.389,0,0,0,0.246,-7.548,1,49,0.0544,128.094,0.769,2001
0.193,0.366,260855,0.826,0,0,9,0.0738,-5.139,1,55,0.0923,93.128,0.369,2001
0.399,0.561,337760,0.774,1,1.84E-06,1,0.189,-3.144,0,41,0.447,77.621,0.82,2001
0.484,0.504,362400,0.384,0,4.20E-05,0,0.33,-9.472,1,45,0.0346,122.306,0.209,2001
0.213,0.785,244240,0.575,0,0.000144,9,0.101,-8.105,1,42,0.0341,123.026,0.558,2001
0.905,0.339,190173,0.217,0,0.0183,10,0.143,-15.066,1,47,0.0313,83.553,0.357,2001
0.587,0.775,270773,0.51,0,0.797,2,0.102,-8.81,0,43,0.0329,110.216,0.415,2001
0.0164,0.73,238027,0.613,0,1.73E-05,5,0.1,-8.241,0,42,0.258,165.959,0.954,2001
0.484,0.513,314867,0.46,0,5.04E-06,1,0.0816,-8.201,0,41,0.0298,131.984,0.139,2001
0.192,0.584,203600,0.888,0,4.23E-05,11,0.0931,-9.411,0,49,0.0349,93.211,0.672,2001
0.00429,0.692,290693,0.863,0,0.00163,9,0.284,-6.809,1,42,0.105,108.298,0.814,2001
0.0453,0.841,278467,0.552,0,0.00154,7,0.0533,-10.345,1,42,0.0498,99.018,0.596,2001
0.608,0.585,180960,0.213,0,8.89E-06,11,0.106,-13.667,1,43,0.0442,142.627,0.321,2001
0.114,0.609,168053,0.818,0,0.316,5,0.0999,-4.62,1,46,0.0425,78.955,0.922,2001
0.53,0.795,192747,0.543,0,0,7,0.091,-9.163,1,46,0.124,99.366,0.857,2001
0.616,0.289,416893,0.262,0,0.0012,0,0.933,-11.907,1,45,0.0304,136.47,0.154,2001
0.851,0.703,161173,0.609,0,0.000515,3,0.525,-13.788,1,43,0.275,130.957,0.846,2001
0.0892,0.728,298667,0.794,0,0,9,0.0852,-4.109,1,42,0.0525,91.981,0.494,2001
0.807,0.269,508533,0.299,0,0.854,1,0.105,-17.984,1,48,0.0413,138.999,0.102,2001
0.143,0.75,229093,0.492,0,0,1,0.057,-7.535,1,49,0.0527,80.926,0.917,2001
0.109,0.725,272373,0.755,1,1.63E-05,9,0.213,-7.25,1,40,0.0636,147.987,0.538,2001
0.372,0.68,244507,0.59,0,2.65E-05,9,0.125,-7.601,0,45,0.0313,104.008,0.423,2001
0.971,0.153,226333,0.00905,0,0.607,0,0.107,-30.099,1,48,0.0372,164.191,0.073,2001
0.0961,0.321,308600,0.462,0,0,8,0.102,-10.711,1,51,0.0346,116.782,0.457,2001
0.0626,0.666,289640,0.736,1,0.00114,6,0.155,-7.432,1,40,0.0993,180.019,0.565,2001
0.392,0.72,309800,0.841,0,0,2,0.0972,-3.954,1,48,0.039,90.003,0.62,2001
0.0213,0.873,309267,0.373,0,2.43E-05,0,0.0497,-12.685,0,44,0.0464,110.67,0.972,2001
0.106,0.589,233400,0.733,0,0.00328,5,0.111,-8.809,0,50,0.0399,182.364,0.913,2001
0.179,0.769,234253,0.68,0,2.71E-05,8,0.122,-8.266,1,50,0.0339,126.815,0.727,2001
0.000562,0.451,254000,0.993,1,0.00479,1,0.152,-4.143,1,41,0.185,100.827,0.14,2001
0.428,0.709,211467,0.747,0,0.000159,11,0.201,-6.557,0,41,0.0288,130.441,0.824,2001
